ID, Label, Mean 0, Mean 1, Aff 0, Aff 1, Eff 0, Eff 1
0,' ',2.279644461861708,4.4694801401593125,1.2883583333536333,0.804715364186699,0.8877677051593873,0.8469115115201516
1,' ',4.106836386283263,9.763822476164634,1.4881717539637758,0.6345862801674369,0.1401275483491653,0.6826280647445495
2,' ',7.636724376399644,0.8000354456287573,0.5336403395880169,0.7693883112744203,0.8983966343724852,0.8814645314385423
3,' ',8.749682357692679,1.5674047968669602,0.8099507554697153,0.6340234876171845,0.7101089547453784,0.2278082215984431
4,' ',7.466230713993073,8.012233236566278,0.7604598138197516,1.1592634168995302,0.5661451114196475,0.5337704992369705
5,' ',5.625230544551058,7.828893547997548,1.019219069011514,1.0072632468935327,0.8762955335085156,0.35635652092459064
6,' ',7.499903308715185,5.242214356752747,0.9421704571733197,0.6566650196060471,0.373527590401016,0.21572910438364362
7,' ',3.4389790175384927,0.4371027256601301,0.8237508010635585,1.0221688987688227,0.417767132523325,0.8893073581010266
8,' ',4.356135237942256,2.596439379799195,0.9723538169572673,1.0338470317943917,0.757501766542712,0.3771187058511753
9,' ',9.503576957114882,0.23503539348375124,0.7985227678675229,1.418341424910849,0.595531445636187,0.9873513939506188
10,' ',4.228756381260701,8.86202743312222,0.5822147685033285,0.5157473080001946,0.468959880801795,0.6175878927850098
11,' ',2.583190545889761,1.4850511462074023,1.2799047520771722,0.5228087442218677,0.1491758804854616,0.5398564569563346
12,' ',8.72821172132378,6.772908030482876,0.7603461497469628,1.1420439110443381,0.5168444443790593,0.8964360629101107
13,' ',2.574128503767529,4.930160370135921,0.8548303252413453,1.4665977083450303,0.9717737855169516,0.931070889680884
14,' ',4.603359409533389,5.840390981375058,1.060949440094129,0.7960293844808076,0.5541324502414766,0.4797310000990282
15,' ',5.205616061422479,6.7961775869374055,0.5249820729951006,1.4187236683457942,0.9467190071660649,0.5453170828116709
16,' ',7.240865338585092,3.969428954830274,1.47760772706788,1.0073996863798824,0.8821442532717061,0.14390007552386194
17,' ',7.204224456608486,2.870316195999968,0.9517037269721084,0.6096804742999129,0.8491515331973474,0.5523383868556315
18,' ',7.434055116480857,2.096545779198913,1.459809696539807,1.496822393470187,0.5788997139087025,0.23125415362952323
19,' ',5.084959366069601,0.13435647718468946,1.4517154317418695,0.5323238725086915,0.955284151584474,0.6610644428255714
20,' ',5.090118313616565,8.252620339958606,0.9107323789288706,0.8465882828232443,0.5280660083076697,0.7446566016313362
21,' ',3.1462766449514667,1.0086079587417496,0.7345305820129637,0.5826153865866214,0.24973991067695528,0.9965126460051091
22,' ',4.664791640630524,9.954152321153236,0.9714248543519349,0.6467851270190906,0.20105249622973398,0.062014172812376867
23,' ',5.603293372790953,9.597309095388685,1.0971033740884955,1.2431096271787703,0.3557218493668981,0.2809494776528594
24,' ',3.8437814840415885,6.4041089484616665,1.17633155042267,1.4038351507708149,0.6068711157976082,0.9852566132927585
25,' ',5.465361106258699,3.7032035257025164,0.7696239361338976,0.5952096881996668,0.9894981770338863,0.7569377341024534
26,' ',4.439878054899285,4.661310407336697,0.7868974021467289,1.343956104881603,0.17046208950928515,0.32312213311822807
27,' ',1.0027027843027592,6.687023524002933,1.1798847402509183,1.4059875890817535,0.9173957671506564,0.7909673171073972
28,' ',0.0010351424479349003,4.554025343347233,1.3992778722687864,0.8572939550964338,0.2630718087295817,0.8598490997907328
29,' ',3.3674119631437582,6.931575710572114,0.6376223255870754,0.5904570704543036,0.4188375696201678,0.43533397695435505
